Work_experience,Gender,Age,Education_level,Functions_used,Usage_frequency,ES_Name,Mobile_device,Device_ownership,system_integrity,system_availability,system_confidentiality,system_accountability,system_nonrepudiation,PSave,Install_firewall,BYOD,Ignore_warnning,Strong_pin,Store_passwords,update_OS,MDave,public_WiFi,unsecured_network,network_control,network_attack,encrypted_transimittion,unreliable_int,WNave,cloud_resource,cloud_compute,remote_datastore,Data_regulation,multiple_login,weak_authentication,Cloudave,unknown_app,update_ES,Auto_update,VPN,third_party_app,update,APPave,single_authenticate,audit_log,access_right,change_data,malicious_attack,Data_threats,DATAave,treat
less than 1 year,Female,20-29,college,Budget,3-5 times per day,NERP,Huawei phone,User owned,4,3,3,4,3,3.4,3,3,4,1,4,3,3,2,3,3,2,3,3,2.67,4,4,4,5,4,5,4.33,4,4,3,3,3,6,3.83,5,4,4,4,4,4,4.17,0
less than 1 year,Female,20-29,undergraduate,Budget,1-2 times per day,Yonyou,iPhone,User owned,3,3,4,5,2,3.4,2,3,4,1,4,3,2.83,3,4,4,4,2,4,3.5,5,5,5,5,5,5,5,4,5,6,5,6,5,5.17,4,5,2,2,2,4,3.17,1
6-10year,Female,20-29,undergraduate,accounting,1-2 times per day,Yonyou,iPhone,User owned,3,4,4,3,3,3.4,3,4,3,6,4,3,3.83,3,3,3,2,2,3,2.67,4,3,3,3,3,3,3.17,7,5,7,6,7,6,6.33,3,2,2,2,2,2,2.17,1
1-2year,Female,20-29,college,Budget,1-2 times per day,Superdata software,Huawei phone,User owned,4,4,5,2,2,3.4,3,3,5,5,3,5,4,6,6,7,6,7,7,6.5,3,3,3,3,3,3,3,6,7,7,8,9,4,6.83,3,3,3,3,3,6,3.5,0
less than 1 year,Female,less than 20,undergraduate,accounting,1-2 times per day,Yonyou,iPhone,User owned,2,5,2,5,3,3.4,5,4,5,5,3,5,4.5,4,4,3,4,4,3,3.67,6,6,6,6,6,6,6,5,5,3,4,4,4,4.17,4,6,4,4,3,3,4,1
more than 10 year,Female,40-49,Phd degree,Budget,6-10 times per day,Kingdee,Huawei phone,Company owned,6,2,2,4,3,3.4,5,4,3,6,2,4,4,5,6,6,5,5,6,5.5,5,4,4,4,4,4,4.17,2,3,3,3,4,3,3,6,5,5,5,6,5,5.33,0
1-2year,Female,20-29,college,Budget,1-2 times per day,Yonyou,iPhone,User owned,5,2,1,5,3,3.2,6,6,6,5,6,6,5.83,2,6,4,3,4,2,3.5,6,6,7,7,6,7,6.5,3,2,2,2,4,4,2.83,4,3,6,6,4,4,4.5,1
1-2year,Female,less than 20,high school,Procurement,3-5 times per day,Kingdee,iPhone,User owned,4,3,3,3,3,3.2,6,6,6,6,6,6,6,4,5,5,5,6,6,5.17,6,6,6,5,5,5,5.5,3,3,4,4,4,4,3.67,5,4,4,4,4,4,4.17,1
1-2year,Female,20-29,college,Budget,3-5 times per day,Kingdee,Huawei phone,User owned,4,2,3,4,3,3.2,5,5,4,5,6,4,4.83,3,4,4,3,2,3,3.17,6,6,6,6,6,6,6,4,4,5,5,5,5,4.67,5,5,5,6,5,5,5.17,0
less than 1 year,Female,20-29,undergraduate,Procurement,3-5 times per day,Kingdee,iPhone,User owned,3,3,3,4,3,3.2,4,2,4,5,4,5,4,2,3,3,2,3,2,2.5,5,5,5,4,4,4,4.5,8,6,5,5,5,5,5.67,3,3,3,3,3,3,3,1
less than 1 year,Female,less than 20,high school,Budget,1-2 times per day,Superdata software,iPhone,User owned,2,3,4,5,2,3.2,4,4,3,6,4,3,4,3,3,4,3,7,3,3.83,5,2,2,4,3,4,3.33,2,5,4,2,3,2,3,3,3,3,3,3,3,3,1
1-2year,Female,20-29,college,Budget,3-5 times per day,Kingdee,Huawei phone,User owned,3,3,3,4,3,3.2,2,3,2,2,4,1,2.33,3,3,3,3,4,4,3.33,6,6,6,6,6,7,6.17,4,4,3,4,5,5,4.17,5,5,5,5,5,5,5,0
1-2year,Female,20-29,college,Budget,3-5 times per day,Kingdee,Huawei phone,User owned,3,3,3,4,3,3.2,2,1,2,2,2,2,1.83,6,6,6,6,5,6,5.83,5,5,4,5,4,4,4.5,3,3,4,4,4,4,3.67,5,5,5,6,5,6,5.33,0
more than 10 year,Female,20-29,high school,accounting,3-5 times per day,Kingdee,Huawei phone,User owned,3,4,2,3,3,3,5,6,6,6,6,6,5.83,2,3,3,2,2,2,2.33,5,5,5,5,5,5,5,5,6,6,6,6,7,6,4,5,5,5,4,4,4.5,0
3-5year,Female,30-39,master degree,accounting,1-2 times per day,Kingdee,iPhone,User owned,3,1,7,1,3,3,6,6,6,1,6,6,5.17,4,4,4,5,5,4,4.33,4,2,2,3,5,2,3,7,8,7,8,6,7,7.17,3,5,5,6,2,5,4.33,1
3-5year,Female,20-29,high school,accounting,3-5 times per day,NERP,Huawei phone,User owned,2,2,3,4,4,3,5,5,5,3,5,5,4.67,3,4,3,3,4,4,3.5,1,2,3,3,2,1,2,7,5,5,7,8,6,6.33,5,5,6,7,7,6,6,0
less than 1 year,Female,30-39,college,Human Resource,More than 10 times per day,Kingdee,iPhone,User owned,2,3,3,3,4,3,4,4,5,5,5,5,4.67,3,4,4,4,6,4,4.17,6,6,6,6,6,6,6,5,4,4,6,6,6,5.17,4,4,4,4,6,4,4.33,1
less than 1 year,Female,20-29,undergraduate,Procurement,1-2 times per day,Yonyou,iPhone,User owned,3,3,3,4,2,3,4,4,5,3,4,5,4.17,4,4,4,5,6,4,4.5,6,5,5,5,5,5,5.17,3,3,3,2,2,2,2.5,4,4,2,3,2,4,3.17,1
1-2year,Female,20-29,college,Human Resource,1-2 times per day,Yonyou,iPhone,User owned,1,3,3,4,4,3,5,5,3,6,4,3,4.33,4,4,4,5,4,6,4.5,4,4,4,4,4,4,4,4,4,3,3,3,3,3.33,4,3,3,6,4,2,3.67,1
3-5year,Female,20-29,undergraduate,Human Resource,3-5 times per day,Kingdee,Huawei phone,User owned,3,3,3,3,3,3,6,5,2,6,4,3,4.33,7,7,6,6,6,6,6.33,4,3,3,3,3,3,3.17,5,6,5,6,5,5,5.33,5,4,4,4,4,4,4.17,0
1-2year,Female,less than 20,undergraduate,Finance,1-2 times per day,Yonyou,iPhone,User owned,3,3,3,4,2,3,4,4,5,5,3,4,4.17,5,5,3,4,5,4,4.33,4,4,4,6,5,5,4.67,2,2,3,3,2,2,2.33,4,4,2,3,2,3,3,1
less than 1 year,Intersex,30-39,high school,Budget,3-5 times per day,Kingdee,Huawei phone,User owned,2,2,2,5,3,2.8,3,3,4,4,4,3,3.5,4,5,5,5,5,5,4.83,5,5,5,6,5,5,5.17,0,1,2,3,3,3,2,6,4,4,4,3,3,4,0
less than 1 year,Female,less than 20,high school,Finance,3-5 times per day,Kingdee,Huawei phone,User owned,2,4,1,4,3,2.8,1,1,4,1,4,3,2.33,2,3,2,1,2,3,2.17,5,6,6,6,7,6,6,2,2,3,2,2,2,2.17,4,3,3,3,3,2,3,0
3-5year,Female,20-29,high school,accounting,1-2 times per day,Master service,iPhone,User owned,4,3,2,3,2,2.8,3,3,5,5,3,5,4,2,3,3,3,2,2,2.5,6,5,5,5,5,5,5.17,1,2,2,2,2,3,2,2,3,1,1,2,3,2,1
3-5year,Female,40-49,undergraduate,accounting,6-10 times per day,Kingdee,iPhone,User owned,3,3,3,3,2,2.8,3,2,4,3,2,4,3,5,3,4,3,4,3,3.67,5,5,5,5,5,5,5,3,5,4,3,3,3,3.5,7,5,5,5,5,5,5.33,1
3-5year,Female,20-29,college,Budget,3-5 times per day,Kingdee,Huawei phone,User owned,4,4,2,2,2,2.8,5,4,3,6,2,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4.17,5,4,4,4,4,4,4.17,0
less than 1 year,Female,20-29,undergraduate,accounting,1-2 times per day,NEWGRAND Software,iPhone,User owned,3,2,3,4,2,2.8,2,2,2,2,2,3,2.17,1,3,3,2,5,2,2.67,4,4,4,5,5,5,4.5,5,6,4,3,3,3,4,6,4,5,6,2,4,4.5,1
3-5year,Female,20-29,college,Budget,3-5 times per day,Kingdee,Huawei phone,User owned,3,2,3,3,3,2.8,0,0,2,2,2,2,1.33,1,0,2,2,5,2,2,3,3,4,4,3,3,3.33,6,6,6,6,6,6,6,4,3,1,1,2,1,2,0
1-2year,Female,20-29,college,accounting,3-5 times per day,Kingdee,Huawei phone,User owned,3,2,3,2,3,2.6,3,5,4,5,6,4,4.5,0,2,2,2,2,3,1.83,5,5,5,5,5,5,5,5,4,3,3,3,3,3.5,3,3,3,6,4,4,3.83,0
3-5year,Intersex,40-49,Phd degree,inventory,3-5 times per day,Yonyou,iPhone,User owned,2,3,3,2,3,2.6,4,4,3,4,3,4,3.67,3,4,3,4,4,3,3.5,7,3,2,2,2,2,3,3,3,3,2,2,2,2.5,4,4,3,3,3,3,3.33,1
1-2year,Female,30-39,undergraduate,Budget,3-5 times per day,Kingdee,Huawei phone,User owned,3,2,1,2,5,2.6,2,2,2,4,3,4,2.83,1,0,2,2,2,2,1.5,5,4,4,5,4,4,4.33,0,2,1,0,2,2,1.17,4,3,3,3,3,2,3,0
6-10year,Female,20-29,undergraduate,Procurement,3-5 times per day,Kingdee,Huawei phone,User owned,3,3,4,1,2,2.6,2,2,2,2,2,3,2.17,5,5,3,4,3,3,3.83,3,2,2,1,1,1,1.67,2,2,3,2,2,3,2.33,3,3,3,3,3,3,3,0
1-2year,Female,30-39,undergraduate,accounting,6-10 times per day,NERP,Huawei phone,User owned,3,2,2,2,3,2.4,6,6,6,5,6,6,5.83,4,4,3,4,3,3,3.5,1,3,2,2,3,1,2,1,2,2,2,2,2,1.83,6,5,5,5,5,5,5.17,0
more than 10 year,Female,more than 50,college,accounting,1-2 times per day,Inspur,iPhone,User owned,2,2,3,2,3,2.4,4,4,3,2,4,3,3.33,4,3,4,3,4,3,3.5,4,3,3,4,3,3,3.33,2,2,3,3,3,3,2.67,4,4,4,3,3,3,3.5,1
less than 1 year,Female,30-39,master degree,Procurement,1-2 times per day,Yonyou,Huawei phone,User owned,3,2,3,2,2,2.4,4,4,3,4,3,4,3.67,4,4,4,5,5,4,4.33,6,5,5,4,4,4,4.67,4,4,2,3,2,6,3.5,5,4,4,4,4,4,4.17,0
3-5year,Female,less than 20,high school,Budget,1-2 times per day,NERP,Huawei phone,User owned,4,2,2,1,3,2.4,1,1,2,2,2,2,1.67,1,3,1,1,2,3,1.83,4,2,2,2,1,1,2,2,3,3,3,3,3,2.83,3,2,3,2,3,2,2.5,0
1-2year,Intersex,20-29,college,Budget,1-2 times per day,Yonyou,iPhone,User owned,3,1,1,4,2,2.2,2,3,2,4,3,1,2.5,3,4,3,3,3,3,3.17,2,2,1,1,1,1,1.33,3,3,3,2,2,2,2.5,6,4,4,4,2,3,3.83,1
3-5year,Female,20-29,college,Procurement,6-10 times per day,NERP,Huawei phone,User owned,2,2,2,2,2,2,6,3,4,3,2,4,3.67,4,4,4,5,5,4,4.33,1,0,1,1,1,0,0.67,4,4,5,2,4,3,3.67,3,3,2,2,2,1,2.17,0
less than 1 year,Female,less than 20,high school,accounting,1-2 times per day,NERP,iPhone,User owned,2,1,2,1,3,1.8,4,2,4,1,2,2,2.5,4,4,4,4,4,3,3.83,2,2,2,2,2,2,2,2,2,2,3,3,3,2.5,3,3,3,3,3,3,3,1
